# N_in = 8	N_bs = 320	N_ps = 640
[n1, n2]	phi_1	phi_2	alpha
1	2	2.10214	5.2216	0.62398
1	4	2.64344	0.57703	5.10652
1	7	3.70057	3.48466	5.58485
0	5	3.46419	0.86313	4.38147
0	2	1.29565	0.72126	3.04007
4	5	1.76695	4.22339	1.21453
2	4	2.18219	5.40934	6.03288
1	6	3.44098	5.09645	1.76513
1	7	5.50253	2.46454	5.87084
0	1	2.20665	0.77586	3.39423
4	7	2.94032	0.39265	0.97974
5	6	2.65928	2.92909	3.47049
4	5	5.74788	6.1621	4.02759
4	5	0.65851	5.03782	1.91812
1	7	6.11014	5.97694	1.52562
3	4	2.70529	0.49502	4.05988
4	5	0.2257	1.70607	0.06224
5	6	4.49049	1.22602	2.35914
0	1	2.0982	5.58362	3.37517
1	2	2.80432	1.61057	1.95403
2	4	3.58974	3.53705	3.50815
2	5	5.37685	1.93226	3.83542
4	5	6.18063	2.80778	2.80121
2	4	0.64763	3.45481	2.72648
4	5	2.29074	4.16135	1.74344
0	3	5.3889	0.40203	3.79411
2	5	4.62014	4.23211	5.58152
1	4	3.98445	5.75325	0.99523
3	7	0.45048	2.36553	5.97738
5	6	0.2729	2.58996	2.24431
0	5	0.33417	5.1559	0.84537
5	7	6.16235	4.37577	5.5894
2	3	2.76878	0.09229	3.59265
0	4	3.62199	4.81313	4.60567
4	5	1.47019	3.36599	0.92043
1	4	4.18923	0.04514	0.6018
0	5	0.88182	0.33114	5.48672
0	6	0.31878	3.08214	1.55352
1	3	2.37031	4.21696	4.29086
0	1	4.08428	3.0818	2.13062
2	5	4.80097	3.5532	1.6724
2	7	4.64125	5.65839	3.85436
0	4	0.44241	2.41673	0.9301
1	4	0.84981	4.08991	0.3189
1	2	2.7685	3.29812	4.83266
2	6	3.2329	4.45071	2.09284
2	6	4.66674	2.32535	0.26086
4	7	2.9257	4.71592	3.19731
3	7	0.45542	5.33466	4.83211
1	2	5.54328	0.46682	2.68024
3	7	4.93757	0.50309	4.72994
6	7	4.00342	5.61555	5.63796
0	3	0.22715	2.10425	5.14055
3	7	5.19247	2.0911	0.03555
3	5	1.46313	5.79668	2.26207
1	2	1.825	0.95741	0.38318
2	7	1.72618	4.7224	2.1862
0	3	0.91522	3.67418	2.80337
6	7	1.47384	2.579	3.67584
5	6	4.02135	3.8652	5.21363
2	3	3.91582	6.14825	1.96519
0	7	3.73802	0.52886	4.38179
4	7	4.72733	4.09832	6.24753
5	7	4.91278	5.65535	3.76606
1	6	2.39574	2.44353	4.64682
0	7	1.27974	5.30283	0.92322
4	6	1.12329	1.20332	2.14923
1	6	4.46824	2.44398	1.75652
0	1	0.78917	2.47737	2.11792
1	6	0.88145	5.50088	3.31793
1	5	5.2166	6.01042	1.27563
3	4	2.63671	1.69208	3.30537
3	6	1.50223	5.50753	3.36914
2	6	2.71126	0.26921	3.57508
0	5	3.00141	0.6628	4.77519
2	5	1.10592	0.62134	4.82462
0	2	4.3688	0.77074	2.96994
0	2	0.28574	5.15459	1.67404
0	1	3.95826	5.2752	1.17791
0	5	0.94514	0.71371	1.93287
1	3	2.7226	3.28528	3.20179
2	6	4.53964	1.31913	3.02456
1	4	4.73834	0.92017	0.04088
0	1	1.5718	1.3029	0.19059
1	3	1.70931	0.88453	5.83899
4	7	4.46903	1.564	3.17776
1	5	4.4384	2.26588	4.52435
4	6	0.25189	1.79493	3.42774
3	7	1.33292	1.80257	5.15432
1	6	2.82943	3.20611	3.53925
3	4	3.61401	3.27455	3.37309
2	4	5.29916	3.5477	4.51659
1	6	2.30133	1.97162	4.09502
0	6	6.07524	1.41085	1.87174
1	4	1.82698	6.01633	6.13486
0	5	2.71274	5.69323	1.78619
1	3	2.48873	5.20024	0.59066
4	5	1.21802	5.5512	4.62913
3	6	0.36251	4.89791	4.29534
1	4	2.20606	3.94371	5.00266
0	3	3.75648	0.27903	2.26935
3	5	5.00194	4.95723	3.4084
2	6	4.10445	5.34395	0.29873
1	5	4.16153	1.2353	1.68582
2	5	5.62653	2.52052	5.73917
0	4	0.44906	0.69096	0.27388
4	7	4.63601	3.0509	4.46147
0	3	0.92891	4.18655	1.71462
1	2	3.6291	1.92721	3.93624
0	6	3.88533	3.95517	2.26631
1	3	1.49974	2.91279	3.21398
5	6	6.12641	3.64836	5.07969
0	6	0.55889	5.18463	5.94151
0	1	5.66144	6.27128	1.51841
1	4	6.04318	3.56924	2.79928
1	2	2.01049	4.58993	1.73139
0	5	0.97496	5.4351	1.62416
0	7	5.03217	2.5906	2.28437
6	7	6.11756	4.6323	5.47519
3	5	0.67202	4.57516	2.63449
2	3	5.43537	1.62403	2.35338
0	6	2.46535	3.0327	1.51757
1	6	2.98046	5.73471	1.47075
0	7	4.7759	0.05237	2.11222
3	6	5.36063	0.1375	0.54896
3	6	2.93913	1.10219	4.44488
1	5	4.89423	1.51283	3.06405
1	6	4.54054	0.38696	2.00086
5	6	2.30588	4.91817	1.91374
0	5	5.73567	1.77648	4.07913
1	4	1.22892	2.63826	3.80293
1	6	4.72974	5.94023	2.00327
0	5	1.9412	0.39227	1.0306
3	6	3.20425	0.35997	3.32847
2	6	2.68238	5.60527	1.29335
3	6	4.98979	3.20275	3.04621
6	7	5.57137	0.24843	2.76651
5	6	1.14863	3.33624	1.87141
0	1	0.91737	5.38342	1.67092
0	5	0.02891	5.19704	4.72242
2	5	1.32507	3.22322	4.64717
1	6	5.28148	1.33979	6.11611
1	7	4.38896	2.93163	1.64423
0	4	4.64858	0.73207	6.02544
1	7	5.08282	1.59967	6.04714
2	7	0.88163	1.18531	4.25661
1	7	4.04891	5.55279	1.8166
1	2	4.26941	3.98608	6.07814
5	6	4.06013	0.3725	4.18092
4	6	2.23186	0.58913	0.61356
4	6	4.79707	1.37186	0.0536
1	5	2.15267	3.0409	3.13093
0	3	6.27781	3.04665	0.12264
4	5	3.88095	3.89402	5.31411
5	6	4.49477	4.91539	1.10829
1	6	2.01959	0.48578	4.62584
1	7	4.73704	3.06839	6.04932
0	3	1.7746	2.85814	3.89756
0	3	5.50537	1.9035	4.6911
0	2	4.69922	6.17296	3.86026
0	6	3.15894	0.62421	5.73388
4	7	6.1175	4.77254	0.13665
0	6	3.77528	5.03501	0.25382
2	6	5.12661	0.59625	1.98805
2	7	1.9911	5.00783	0.23141
1	3	1.87356	1.70964	4.69809
6	7	1.84494	0.93714	5.17855
5	7	5.07034	4.87818	0.67294
1	5	5.59702	4.60553	3.00022
2	4	4.57268	0.90637	2.73843
2	7	2.0435	1.43687	2.81913
4	5	4.86285	6.16049	2.05404
4	7	0.08109	3.24058	3.1767
1	4	3.64813	2.24569	2.9123
3	6	0.25867	4.44281	3.7635
1	2	3.67665	2.12655	4.82159
0	7	0.96318	2.51585	2.45263
2	3	1.07146	3.57109	4.1815
2	5	1.79645	3.86104	0.69713
0	3	1.93169	3.63814	2.94743
6	7	5.79304	1.14121	1.7067
1	6	5.21411	1.70997	0.41126
2	5	2.60074	1.71813	1.56032
1	6	1.20364	4.80878	4.67497
4	6	1.14406	3.62301	4.39015
0	7	3.52521	4.0707	2.99294
1	3	5.1154	6.13855	2.7156
3	7	3.095	3.04111	2.4676
0	2	0.05057	3.1965	5.8836
0	5	1.61563	0.64171	1.23492
0	3	5.82282	1.36724	5.15128
3	7	4.68725	1.33395	5.45515
1	2	1.80016	0.09176	2.36175
2	3	0.27288	3.78577	4.09585
3	5	2.91875	3.18955	3.50129
1	7	1.25875	2.34442	2.63748
3	7	0.0045	5.56913	3.7733
3	4	1.40964	4.05824	2.29179
4	6	1.66214	2.0342	2.85857
0	5	4.43837	1.54536	3.41397
0	4	3.49632	0.20031	2.69734
0	6	4.25342	5.33269	2.5393
1	3	1.37391	2.36251	1.97609
2	3	5.59213	2.64129	6.20681
5	7	5.70881	1.25185	3.21643
2	3	4.26504	4.29394	3.01488
0	1	2.35838	2.52693	5.55594
6	7	2.38748	5.52602	1.85999
2	5	6.21662	0.34005	2.13014
6	7	5.39828	1.21241	4.49843
0	1	4.9348	5.80485	1.21973
2	7	2.14221	5.22474	5.27775
0	4	5.05214	1.88522	3.40916
4	5	5.97313	5.00337	3.29656
2	4	0.26488	4.78854	3.05179
0	2	2.53387	1.82967	5.58857
1	2	4.47699	0.83066	5.74286
3	7	4.53762	0.56987	2.55099
0	6	3.4937	2.69333	1.70679
1	2	6.00785	4.60929	0.34305
0	4	1.64951	4.48034	6.04336
2	7	3.88999	6.27508	1.19723
0	2	3.71761	3.07274	1.09684
3	7	4.46618	2.99479	1.40237
4	7	4.4023	3.40492	0.5529
3	4	3.47923	0.79265	0.33364
0	7	3.59506	0.38418	5.05386
3	4	0.15319	1.33687	4.04796
2	7	1.09139	5.64685	4.37157
1	7	4.65048	2.82802	2.34014
5	7	6.20845	3.413	5.80661
2	6	5.10969	2.00254	2.2844
0	6	0.00669	5.71783	1.42436
0	1	5.82634	1.42	2.43788
0	2	4.44079	3.92538	1.47353
4	7	5.8813	5.43191	3.92312
0	4	0.6671	2.42054	3.82375
2	4	3.58882	1.69555	1.978
0	7	3.60769	3.05095	5.30264
